timestamp,command,left_speed,right_speed,Location,IR1,IR2,IR3,IR4,IR5,IR6,IR7,BumpLeft,BumpRight
18.7,Stop,0,0,Wall,0,0,4,2,8,1,8,FALSE,FALSE
18.97,Stop,0,0,Wall,0,2,2,0,7,0,10,FALSE,FALSE
19.24,Stop,0,0,Wall,0,3,3,4,8,3,10,FALSE,FALSE
19.51,Stop,0,0,Wall,0,0,1,0,6,0,7,FALSE,FALSE
19.78,Stop,0,0,Wall,1,3,3,1,7,2,8,FALSE,FALSE
20.05,Stop,0,0,Wall,0,2,3,4,8,3,12,FALSE,FALSE
20.41,Stop,0,0,Wall,0,2,0,3,5,2,7,FALSE,FALSE
20.68,Stop,0,0,Wall,0,2,1,4,6,2,10,FALSE,FALSE
20.95,Stop,0,0,Wall,0,2,4,3,8,1,10,FALSE,FALSE
21.22,Stop,0,0,Wall,0,2,2,0,8,2,10,FALSE,FALSE
21.49,Stop,0,0,Wall,0,2,5,0,9,1,10,FALSE,FALSE
21.76,Stop,0,0,Wall,1,1,4,3,8,2,10,FALSE,FALSE
22.07,Stop,0,0,Wall,0,0,2,0,7,0,10,FALSE,FALSE
22.34,Stop,0,0,Wall,0,1,0,1,5,0,8,FALSE,FALSE
22.61,Stop,0,0,Wall,0,0,0,1,8,0,9,FALSE,FALSE
22.93,Stop,0,0,Wall,0,2,0,3,4,1,6,FALSE,FALSE
23.2,Stop,0,0,Wall,0,0,0,1,4,0,8,FALSE,FALSE
23.47,Stop,0,0,Wall,1,3,4,2,10,4,10,FALSE,FALSE
23.78,Stop,0,0,Wall,0,2,3,2,8,2,10,FALSE,FALSE
24.05,Stop,0,0,Wall,0,2,1,3,6,2,9,FALSE,FALSE
24.32,Stop,0,0,Wall,0,0,0,2,7,1,7,FALSE,FALSE
24.59,Stop,0,0,Wall,0,3,0,3,5,2,6,FALSE,FALSE
24.86,Stop,0,0,Wall,2,2,2,2,8,1,10,FALSE,FALSE
25.13,Stop,0,0,Wall,0,3,2,1,8,0,8,FALSE,FALSE
25.4,Stop,0,0,Wall,1,3,2,2,7,0,11,FALSE,FALSE
25.67,Stop,0,0,Wall,0,2,3,2,9,0,9,FALSE,FALSE
25.94,Stop,0,0,Wall,0,5,0,4,4,3,5,FALSE,FALSE
26.21,Stop,0,0,Wall,0,3,0,1,3,1,7,FALSE,FALSE
26.53,Stop,0,0,Wall,0,2,3,4,8,1,10,FALSE,FALSE
26.8,Stop,0,0,Wall,0,3,3,4,8,1,8,FALSE,FALSE
27.07,Forward,10,10,Wall,0,0,0,0,2,0,1,FALSE,FALSE
27.34,Forward,10,10,Wall,0,1,2,0,6,0,9,FALSE,FALSE
27.61,Forward,10,10,Wall,0,0,0,0,7,0,8,FALSE,FALSE
27.88,Forward,10,10,Wall,0,0,1,0,8,1,8,FALSE,FALSE
28.15,Forward,10,10,Wall,0,3,1,0,4,0,8,FALSE,FALSE
28.42,Forward,10,10,Wall,0,1,1,0,5,0,12,FALSE,FALSE
28.69,Forward,10,10,Wall,0,2,0,1,6,2,12,FALSE,FALSE
28.96,Forward,10,10,Wall,0,3,3,3,7,0,17,FALSE,FALSE
29.23,Forward,10,10,Wall,0,1,1,2,4,2,15,FALSE,FALSE
29.5,Forward,10,10,Wall,0,3,1,4,3,2,13,FALSE,FALSE
29.77,Forward,10,10,Wall,0,0,0,0,4,1,15,FALSE,FALSE
30.04,Forward,10,10,Wall,0,2,0,3,5,3,16,FALSE,FALSE
30.35,Forward,10,10,Wall,0,3,1,4,5,4,18,FALSE,FALSE
30.62,Forward,10,10,Wall,0,0,2,0,6,0,23,FALSE,FALSE
30.89,Forward,10,10,Wall,0,0,2,1,6,0,23,FALSE,FALSE
31.16,Forward,10,10,Wall,0,3,4,0,8,1,28,FALSE,FALSE
31.43,Forward,10,10,Wall,1,3,3,4,8,2,31,FALSE,FALSE
31.7,Forward,10,10,Wall,0,1,2,4,7,2,30,FALSE,FALSE
31.97,Forward,10,10,Wall,1,3,2,4,6,3,37,FALSE,FALSE
32.24,Forward,10,10,Wall,1,1,2,2,9,2,41,FALSE,FALSE
32.56,Forward,10,10,Wall,0,0,3,0,8,0,45,FALSE,FALSE
32.83,Forward,10,10,Wall,0,0,2,3,7,2,52,FALSE,FALSE
33.14,Forward,10,10,Wall,0,3,4,1,8,6,59,FALSE,FALSE
33.46,Forward,10,10,Door_Start,2,4,3,3,8,2,70,FALSE,FALSE
33.73,Forward,10,10,Door_Start,0,3,2,4,6,0,75,FALSE,FALSE
34.0,Forward,10,10,Door_Start,0,1,0,3,3,1,93,FALSE,FALSE
34.27,Forward,10,10,Door_Start,0,1,3,0,8,0,187,FALSE,FALSE
34.54,Forward,10,10,Door_Start,0,2,3,3,10,1,448,FALSE,FALSE
34.81,Forward,10,10,Door_Start,1,4,3,4,18,4,628,FALSE,FALSE
35.17,Forward,10,10,Door_Start,0,0,3,1,22,0,198,FALSE,FALSE
35.48,Forward,10,10,Door_Start,0,2,2,4,18,3,43,FALSE,FALSE
35.75,Forward,10,10,Door_Start,2,6,4,1,21,2,44,FALSE,FALSE
36.02,Forward,10,10,Door_Start,0,4,2,5,20,4,40,FALSE,FALSE
36.29,Forward,10,10,Door_Start,0,3,0,3,16,4,40,FALSE,FALSE
36.56,Forward,10,10,Door,0,3,3,3,20,0,44,FALSE,FALSE
36.83,Forward,10,10,Door,0,0,2,0,17,0,43,FALSE,FALSE
37.1,Forward,10,10,Door,0,0,2,0,18,0,46,FALSE,FALSE
37.42,Forward,10,10,Door,0,0,2,2,19,1,52,FALSE,FALSE
37.69,Forward,10,10,Door,1,0,3,0,19,0,55,FALSE,FALSE
38.0,Forward,10,10,Door,0,1,4,0,18,1,58,FALSE,FALSE
38.27,Forward,10,10,Door,0,3,0,0,13,1,59,FALSE,FALSE
38.54,Forward,10,10,Door,0,3,1,3,15,2,61,FALSE,FALSE
38.81,Forward,10,10,Door,0,1,5,2,20,3,69,FALSE,FALSE
39.08,Forward,10,10,Door,0,4,0,4,11,4,62,FALSE,FALSE
39.35,Forward,10,10,Door,0,0,2,0,18,2,70,FALSE,FALSE
39.62,Forward,10,10,Door,0,0,0,0,14,0,74,FALSE,FALSE
39.94,Forward,10,10,Door,1,2,4,2,18,3,90,FALSE,FALSE
40.21,Forward,10,10,Door,2,3,4,2,18,3,96,FALSE,FALSE
40.48,Forward,10,10,Door,0,0,2,0,18,0,97,FALSE,FALSE
40.75,Forward,10,10,Door,0,4,2,2,18,5,103,FALSE,FALSE
41.02,Forward,10,10,Door,0,0,0,3,16,4,107,FALSE,FALSE
41.33,Forward,10,10,Door,0,4,0,5,16,8,111,FALSE,FALSE
41.6,Left,-5,5,Door,0,1,0,3,17,11,117,FALSE,FALSE
41.87,Left,-5,5,Door,2,3,4,2,22,12,130,FALSE,FALSE
42.14,Left,-5,5,Door,0,4,0,4,22,11,83,FALSE,FALSE
42.46,Forward,10,10,Door,0,1,2,0,16,1,41,FALSE,FALSE
42.73,Forward,10,10,Door,0,2,4,3,12,0,49,FALSE,FALSE
43.04,Forward,10,10,Door,1,3,3,4,9,3,63,FALSE,FALSE
43.31,Right,5,-5,Door,0,3,1,3,4,0,82,FALSE,FALSE
43.58,Right,5,-5,Door,1,4,3,4,8,1,122,FALSE,FALSE
43.85,Right,5,-5,Door,1,0,1,0,7,0,113,FALSE,FALSE
